full_name,position,current_team,current_age,years_exp,talent_ppg,availability_score,risk_cv,dcf_value,replacement_value,vorp
Bijan Robinson,RB,ATL,24,2,14.69,0.92,0.45,769.91,293.93,454.42
Josh Allen,QB,BUF,30,7,23.92,0.91,0.35,1251.98,808.28,428.13
Jahmyr Gibbs,RB,DET,24,2,14.28,0.90,0.53,730.97,287.17,420.22
Jalen Hurts,QB,PHI,28,5,21.89,0.89,0.35,1372.14,965.37,392.59
Ja'Marr Chase,WR,CIN,26,4,15.63,0.88,0.59,754.71,358.78,372.67
Puka Nacua,WR,LA,25,2,14.51,0.84,0.48,756.14,380.43,357.50
Justin Herbert,QB,LAC,28,5,21.12,0.90,0.41,1338.09,975.85,347.33
Jaxon Smith-Njigba,WR,SEA,24,2,11.64,0.94,0.58,815.91,458.78,336.56
Malik Nabers,WR,NYG,23,1,11.93,0.66,0.57,690.22,347.85,322.98
Patrick Mahomes,QB,KC,31,8,23.01,0.89,0.36,1009.32,678.96,318.40
Amon-Ra St. Brown,WR,DET,27,4,15.34,0.91,0.51,649.35,323.06,309.68
CeeDee Lamb,WR,DAL,27,5,15.52,0.87,0.52,626.86,308.25,302.07
Trevor Lawrence,QB,JAX,27,4,20.13,0.86,0.45,1322.85,1011.06,297.85
Justin Jefferson,WR,MIN,27,5,15.21,0.88,0.51,624.33,313.40,294.93
Caleb Williams,QB,CHI,25,1,18.16,0.94,0.49,1531.03,1233.99,282.52
Lamar Jackson,QB,BAL,29,7,20.77,0.83,0.46,1108.16,822.58,272.46
Drake London,WR,ATL,25,3,12.71,0.85,0.61,668.00,382.99,267.73
De'Von Achane,RB,MIA,25,2,12.68,0.85,0.54,518.18,237.59,265.48
Drake Maye,QB,NE,24,1,17.15,0.86,0.35,1437.77,1177.86,250.86
Joe Burrow,QB,CIN,30,5,21.37,0.76,0.41,935.17,675.69,248.77
Ashton Jeanty,RB,LV,23,0,9.95,0.91,0.61,569.25,312.47,241.09
Brian Thomas Jr.,WR,JAX,24,1,10.42,0.88,0.56,680.70,425.89,240.51
Breece Hall,RB,NYJ,25,3,11.77,0.83,0.56,472.14,233.23,225.41
Jordan Addison,WR,MIN,24,2,10.36,0.84,0.63,646.99,406.96,224.82
Bo Nix,QB,DEN,26,1,18.36,0.94,0.42,1401.07,1173.51,217.94
Tetairoa McMillan,WR,CAR,23,0,8.71,0.93,0.54,707.08,486.00,209.10
Emeka Egbuka,WR,TB,24,0,9.72,0.93,0.71,672.82,451.38,205.63
Xavier Worthy,WR,KC,23,1,8.94,0.84,0.59,657.65,440.46,204.27
Marvin Harrison Jr.,WR,ARI,24,1,10.11,0.81,0.59,606.15,390.90,202.55
Garrett Wilson,WR,NYJ,26,3,12.28,0.81,0.52,538.39,325.11,202.14
Kyler Murray,QB,ARI,29,6,20.24,0.67,0.37,870.43,663.08,199.66
Kyren Williams,RB,LA,26,3,12.79,0.80,0.53,405.35,197.17,197.14
C.J. Stroud,QB,HOU,25,2,17.26,0.88,0.47,1352.61,1147.02,196.00
Chris Olave,WR,NO,26,3,12.07,0.80,0.48,525.43,322.72,192.91
Bucky Irving,RB,TB,24,1,10.25,0.79,0.48,449.38,247.44,192.25
Brock Bowers,TE,LV,24,1,9.78,0.83,0.57,723.45,522.68,189.24
Rome Odunze,WR,CHI,24,1,9.83,0.82,0.71,601.14,398.62,188.06
Javonte Williams,RB,DAL,26,4,12.15,0.82,0.53,393.44,201.47,181.77
Jonathan Taylor,RB,IND,27,5,14.96,0.80,0.56,359.37,170.52,178.36
George Pickens,WR,DAL,25,3,10.70,0.90,0.64,586.33,397.25,176.99
Jayden Daniels,QB,WAS,26,1,18.37,0.76,0.48,1122.54,939.97,173.89
Chase Brown,RB,CIN,26,2,11.39,0.85,0.63,380.49,207.83,161.76
Kenneth Walker III,RB,SEA,26,3,11.32,0.83,0.55,368.79,202.66,156.98
Dak Prescott,QB,DAL,33,9,21.98,0.81,0.44,569.26,405.21,156.83
Josh Jacobs,RB,GB,28,6,14.11,0.86,0.50,314.61,152.64,153.93
Quinshon Judkins,RB,CLE,23,0,8.68,0.83,0.56,443.20,285.38,149.05
Zay Flowers,WR,BAL,26,2,10.40,0.93,0.54,503.92,352.81,142.99
Nico Collins,WR,HOU,27,4,11.80,0.78,0.61,428.24,276.28,142.73
Tee Higgins,WR,CIN,27,5,11.68,0.78,0.60,422.54,275.43,138.29
Christian McCaffrey,RB,SF,30,8,18.07,0.74,0.41,219.24,76.93,136.44
Brock Purdy,QB,SF,27,3,17.89,0.75,0.49,1018.66,876.09,135.64
Troy Franklin,WR,DEN,23,1,7.86,0.88,0.84,598.09,452.52,133.40
Saquon Barkley,RB,PHI,29,7,14.33,0.86,0.54,259.76,119.29,132.84
Jared Goff,QB,DET,32,9,19.05,0.93,0.44,722.14,589.05,127.19
Ladd McConkey,WR,LAC,25,1,9.62,0.90,0.55,517.99,386.61,124.19
Baker Mayfield,QB,TB,31,7,18.33,0.90,0.44,810.55,684.49,120.58
Omarion Hampton,RB,LAC,23,0,8.52,0.70,0.53,366.46,240.22,119.53
Wan'Dale Robinson,WR,NYG,25,3,9.74,0.83,0.60,481.08,354.82,118.68
D'Andre Swift,RB,CHI,27,5,12.02,0.87,0.51,309.36,185.43,117.64
Travis Etienne,RB,JAX,27,4,11.72,0.91,0.55,314.04,193.05,114.33
Joe Mixon,RB,HOU,30,8,14.92,0.85,0.53,209.06,88.86,113.78
A.J. Brown,WR,PHI,29,6,13.12,0.85,0.56,325.54,213.70,105.54
Keon Coleman,WR,BUF,23,1,7.64,0.76,0.60,486.76,375.89,104.26
Rashee Rice,WR,KC,26,2,10.57,0.62,0.46,353.76,246.70,102.13
TreVeyon Henderson,RB,NE,24,0,8.05,0.91,0.78,395.59,285.57,101.46
Trey McBride,TE,ARI,27,3,11.87,0.88,0.64,479.54,372.07,100.62
James Cook,RB,BUF,27,3,11.14,0.90,0.61,297.22,192.35,98.45
DeVonta Smith,WR,PHI,28,4,10.97,0.88,0.56,359.41,257.50,96.17
Zach Charbonnet,RB,SEA,25,2,8.62,0.90,0.76,353.05,252.50,92.86
Daniel Jones,QB,IND,29,6,17.56,0.70,0.48,781.22,685.45,91.15
Tony Pollard,RB,TEN,29,6,11.50,0.90,0.53,219.86,125.84,89.00
Najee Harris,RB,LAC,28,4,11.55,0.76,0.51,225.64,132.83,88.09
Jaylen Waddle,WR,MIA,28,4,10.76,0.87,0.56,345.54,252.58,87.72
Tyler Warren,TE,IND,24,0,8.13,0.92,0.43,627.40,538.49,85.06
Jameson Williams,WR,DET,25,3,9.26,0.72,0.62,384.09,293.76,84.77
Jerry Jeudy,WR,CLE,27,5,9.76,0.86,0.64,369.83,281.64,82.57
